# A2 zinnen batch 11 — resterende 61 woorden

Dit is 1|behoorlijk moeilijk voor mij.
Dit probleem is 1|lastig op te lossen.
Ik werk achter de 1|bar.
Kijk op het 1|rooster voor je werktijden.
Met 1|oud en nieuw vieren we het nieuwe jaar.
Wat is het 1|bedrag dat ik moet betalen?
Ik spreek ook een beetje 1|Engels.
Mijn lievelingsvak is 1|wiskunde.
Mijn 1|advocaat geeft me advies.
Dat is een 1|wetenschappelijke@wetenschappelijk studie.
We 1|bezoeken@bezoeken het museum dit weekend.
Ze spreekt 1|Chinees en ook 2|Duits.
Wat was de 1|bedoeling van dit plan?
Ik doe het 1|staatsexamen NT2@staatsexamen_NT2 volgend jaar.
De 1|kosten zijn te hoog.
1|Steek@steken de stekker in het stopcontact.
Dat liedje is erg 1|bekend.
1|Vul@vullen het formulier in.
1|Druk@drukken op de knop om te starten.
Mijn telefoon is 1|stuk.
Ik 1|download@downloaden de film op mijn laptop.
Laat je 1|pas zien aan de deur.
Dat is 1|totaal niet waar.
Hij heeft een rond 1|gezicht.
Zet je rug 1|recht als je zit.
1|Sluit@sluiten de deur als je weggaat.
Drink je koffie uit deze 1|beker.
Gooi het 1|vuilnis in de bak.
Mijn 1|familielid heeft een afspraak bij de dokter.
Heb je je 1|legitimatie bij je?
De zon 1|schijnt@schijnen vandaag.
We leven in een mooie 1|wereld.
Ik 1|verstuur@versturen de brief morgen.
Hij vertelde een leuke 1|grap.
Aan het 1|begin was het moeilijk.
Mijn 1|ex-@ex- partner belde me.
De journalist 1|interviewde@interviewen de minister.
Ze gaf een 1|neutraal antwoord.
Wat is het 1|resultaat van de test?
Kun je mijn vraag 1|beantwoorden@beantwoorden?
Ik reed over de 1|snelweg.
Ze heeft een 1|bijbaan als serveerster.
Het regende, dus we 1|bleven@binnenblijven 1|binnen@binnenblijven.
De 1|aarde warmt op.
We moeten de natuur 1|beschermen@beschermen.
Ik ga 1|door@door de stad fietsen.
In deze 1|periode is het druk op het werk.
We zwommen in het 1|meer.
Ze is een 1|rijke@rijk vrouw.
De 1|controle bij de grens duurt lang.
De 1|interviewster stelde veel vragen.
Hij hield zijn 1|belofte.
Welk 1|soort muziek vind je leuk?
Er is een grote 1|uitverkoop in de winkel.
Ik betaal elk jaar 1|belasting.
Ze heeft een goede 1|relatie met haar baas.
De bloem is 1|dood, geef hem water.
Kijk naar het 1|programma op televisie.
Ze heeft veel 1|kennis van talen.
Ik gebruik een 1|sociaal medium@sociaal_medium voor het nieuws.
